অগ্র,পশ্চাৎ
অম্ল,মধুর
অনুকূল,প্রতিকূল
অন্তর,বাহির
অধম,উত্তম
অলস,পরিশ্রমী
অজ্ঞান,সজ্ঞান
অমর,মর
অর্পণ,গ্রহণ
অনুরক্ত,বিরক্ত
আকাশ,পাতাল
আসল,নকল
আয়,ব্যয়
আলোক,অন্ধকার
আবির্ভাব,তিরোভাব
আবির্ভূত,তিরোহিত
আগে,পিছে
আকুঞ্চন,প্রসারণ
আবৃত,অনাবৃত
আমদানি,রপ্তানি
আবশ্যক,অনাবশ্যক
আস্তিক,নাস্তিক
আদি,অন্ত
আদিম,অন্তিম
আদান,প্রদান
আগমন,নির্গমন/প্রস্থান
আকর্ষণ,বিকর্ষণ
আঁটি,শ্বাস
আস্থা,অনাস্থা
আহার,অনাহার
আরোহণ,অবরোহণ
আত্মীয়,অনাত্মীয়
আশা,নিরাশা
আহার,অনাহার
আবিল,অনাবিল
আর্দ্র,অনার্দ্র
আসামী,ফরিয়াদী
আকস্মিক,চিরন্তন
ইহকাল,পরকাল
ইষ্ট,অনিষ্ট
ইচ্ছা,অনিচ্ছা
ইতর,ভদ্র
ইতি,আদি
ইহলোক,পরলোক
ইচ্ছুক,অনিচ্ছুক
ইতিবাচক,নেতিবাচক
ইদানীন্তন,তদানীন্তন
ইহলৌকিক,পারলৌকিক
ঈর্ষা,প্রীতি
ঈমান,বেঈমান
ঈষৎ,অধিক
ঈশান,নৈঋত
ঈদৃশ,তাদৃশ
উদয়,অস্ত
উচিত,অনুচিত
উত্থান,পতন
উর্বর,অনুর্বর
উন্নতি,অবনতি
উৎকর্ষ,অপকর্ষ
উত্তপ্ত,শীতল
উষ্ণ,শীতল
উদ্ধত,বিনীত
উগ্র,সৌম্য/নম্র
উদার,সংকীর্ণ
উত্তর,দক্ষিণ
উদ্ভাসিত,ম্রিয়মাণ
উৎসাহ,নিরুৎসাহ
উজাড়,ভরপুর
উৎকৃষ্ট,নিকৃষ্ট
উজ্জ্বল,অনুজ্জ্বল
উজান,ভাটি
উর্বর,অনুর্বর
উল্লেখ,অনুল্লেখ
উপকারিতা,অপকারিতা
উপচিকীর্ষা,অপচিকীর্ষা
উন্মীলন,নিমীলন
উন্মুখ,বিমুখ
উন্নতি,অবনতি
উদার,সংকীর্ণ
উপস্থিত,অনুপস্থিত
উতরানো,তলানো
উদ্ভুত,পড়ভূত
উদ্বৃত্ত,ঘাটতি
উত্থিত,পতিত
উত্তরায়ন,দক্ষিণায়ন
উত্রাই,চড়াই
উদ্বিগ্ন,নিরুদ্বিগ্ন
উষর,উর্বর
ঊর্ধ্ব,অধঃ
উষা,সন্ধ্যা
ঊর্ধ্বগামী,নিম্নগামী
ঊর্ধ্বতন,অধস্তন
ঊর্ধ্বগতি,অধোগতি
উহ্য,স্পষ্ট
ঋজু,বক্র
একতা,বিচ্ছিন্নতা
এক,অনেক
এঁড়ে,বকনা
একাল,সেকাল
একুল,ওকুল
এদিক,ওদিক
ঐহিক,পারত্রিক
ঐক্য,বিভেদ/অনেক
ঐচ্ছিক,আবশ্যক
ঐশ্বর্য,দারিদ্র্য
ঐতিহাসিক,অনৈতিহাসিক
ঐক্যমত্য,মতভেদ
ওস্তাদ,সাগরেদ
ঔদার্য,কার্পণ্য
ঔদ্ধত্য,বিনয়
উচিত,অনুচিত
ঔজ্জ্বল্য,ম্লানিমা
কঠিন,কোমল/তরল
কড়ি,কড়িশূন্য
কনিষ্ঠ,জ্যেষ্ঠ
কপট,অকপট/সরল
কৃতজ্ঞ,অকৃতজ্ঞ/কৃতঘ্ন
কুৎসা,প্রশংসা
কুৎসিত,সুন্দর
ক্রন্দন,হাস্য
কাপুরুষ,বীরপুরুষ
কোমল,কঠিন/কর্কশ
কৃষ্ণ,শুভ্র
কৃষ,স্থূল
কৃশকায়,স্থূলকায়
কুটিল,সরল
কল্পনা,বাস্তব
কল্যাণ,অকল্যাণ
কাজ,বিশ্রাম
কার্যকর,অকার্যকর
কুমেরু,সুমেরু
কুরুচি,সুরুচি
কুশিক্ষা,সুশিক্ষা
কেলেঙ্কারি,সুনাম
কু,সু
কৃত্রিম,স্বাভাবিক
ক্ষীণ,পুষ্ট
ক্ষয়িষ্ণু,বর্ধিষ্ণু
ক্ষিপ্র,শান্ত
ক্ষয়,বৃদ্ধি
ক্ষীয়মাণ,বর্ধমান
ক্ষুদ্র,বৃহৎ
ক্ষতি,লাভ
খিড়কি,সিংহদ্বার
গ্রাম্য,নাগরিক
গ্রহণ,বর্জন
প্রশংসা,নিন্দা
খুঁত,নিখুঁত
খণ্ড,অখণ্ড
খুব,অল্প
খাতক,মহাজন
খ্যাতি,অখ্যাতি
খ্যাত,অখ্যাত
খোঁজ,নিখোঁজ
খুশি,অখুশি
খাদ্য,অখাদ্য
খরিদ,বিক্রয়
গরল,অমৃত
গৌণ,মুখ্য
গ্রাম্য,শহুরে/বন্য
গৌরব,লাঘব
গরিষ্ঠ,লঘিষ্ঠ
গ্রহণ,বর্জন
গুরু,লঘু
গুণ,দোষ
গুরু,শিষ্য
গোপনীয়,প্রকাশ্য
গাঢ়,পাতলা
গোপন,প্রকাশ
গৃহী,সন্ন্যাসী
গণ্য,নগণ্য
গ্রহীতা,দাতা
গুপ্ত,ব্যক্ত
গ্রাহ্য,অগ্রাহ্য
গতি,স্থিতি
গভীর,অগভীর
ঘন,তরল
ঘুমন্ত,জাগ্রত
ঘাটতি,বাড়তি
ঘর,বার
ঘাত,প্রতিঘাত
ঘরোয়া,বাহির
ঘাট,অঘাট
চড়াই,উত্রাই
চ্যুত,অচ্যুত
চঞ্চল,স্থির/অবিচল
চেতন,অচেতন
চপল,গম্ভীর
চোর,সাধু
চতুর,বোকা
চোখা,ভোঁতা
চলতি,সাধু
চিরায়ত,সাময়িক
চাক্ষুষ,অগোচর
চিরন্তন,ক্ষণকালীন
চিন্তনীয়,অচিন্তনীয়
চালু,অচল
ছায়া,কায়া
ছাত্র,শিক্ষক
ছটফটে,শান্ত
ছোকড়া,বুড়ো
জয়,পরাজয়
জানা,অজানা
জন্ম,মৃত্যু
জনাকীর্ণ,জনবিরল
জীবন,মরণ
জাগরণ,নিদ্রা
জটিল,সরল
জ্যেষ্ঠা,কনিষ্ঠা
জাগ্রত,সুপ্ত/ঘুমন্ত
জ্বলন্ত,নিভন্ত
জলে,স্থলে
জিন্দা,মুর্দা
জ্ঞাতসারে,অজ্ঞাতসারে
জ্যোৎস্না,অমাবস্যা
জোয়ার,ভাটা
জৈব,অজৈব
জীবিত,মৃত
জাল,আসল
জাতীয়,বিজাতীয়
ঝুনো,কাঁচা
ঝানু,অদক্ষ
ঝগড়া,ভাব
টক,মিষ্টি
টাটকা,বাসি
ঠিক,বেঠিক
ঠাণ্ডা,গরম
ঠুনকো,মজবুত
ডুবন্ত,ভাসন্ত
ডাগর,ছোট
ডুবা,ভাসা
তাপ,শৈত্য
তেজ,নিস্তেজ
তরল,কঠিন
তরুণ,বৃদ্ধ
তীক্ষ্ণ,ভোঁতা
তখন,এখন
তিরস্কার,পুরস্কার
তিক্ত,মধুর
ত্যাজ্য,গ্রাহ্য
তীব্র,লঘু
ত্বরিত,শ্লথ
তদীয়,মদীয়
তুষ্ট,রুষ্ট
তন্বয়,মন্ময়
তৃপ্ত,অতৃপ্ত
তপ্ত,শীতল
তেজি,মন্দা
তস্কর,সাধু
তিমির,আলো
থামা,শুরু
থৈ,অথৈ
দুর্বল,সবল
দাতা,গ্রহীতা
দিবা,নিশি
দুষ্কৃত,সুকৃত
দয়ালু,নিষ্ঠুর
দোষী,নির্দোষী
দরদি,বেদরদি
দৃঢ়,শিথিল
দ্যুলোক,ভূলোক
দ্বৈত,অদ্বৈত
দ্বিধা,নির্দ্বিধা
দখল,বেদখল
দুর্দিন,সুদিন
দুর্জন,সুজন
দুর্গম,সুগম
দুরন্ত,শান্ত
দেশি,বিদেশি
দৃশ্য,অদৃশ্য
দুঃশীল,সুশীল
দীর্ঘায়ু,স্বল্পায়ু
দিক,বিদিক
দাস,প্রভু
ধনবান,ধনহীন
ধরা,মরা
ধনিক,শ্রমিক
ধনী,গরিব
ধনাত্মক,ঋণাত্মক
ধবল,শ্যামল
ধৃত,মুক্ত
ধূর্ত,বোকা
ধীর,অধীর
